word,neighbor,similarity
cast,casts,0.72188800573349
cast,casting,0.7188456058502197
cast,Cast,0.6638122200965881
score,scoring,0.71968013048172
score,scores,0.659572422504425
score,scored,0.6384159326553345
plot,plots,0.7624845504760742
plot,Plot,0.6524182558059692
plot,plotting,0.6327632069587708
screen,screens,0.7728806734085083
screen,onscreen,0.6115447282791138
screen,LCD_screen,0.5599321126937866
review,reviewed,0.6630409359931946
review,reviewing,0.6609557271003723
review,reviews,0.6379557251930237
